name,Receiving,Carrying,Distributing,Intelligence,Attitude,Learning,speed5m,speed10m,speed15m,explosivity
Josh Mills,5,3,4,3,4,2,1.24,1.99,3.13,8.1
Jake Lane,2,4,2,5,5,4,1.2,1.99,3.01,8.3
Elliot Hughes,5,2,5,4,4,3,1.23,1.99,3.23,7.5
Lewis Johnson,4,3,4,2,5,2,1.11,1.82,2.9,7.7
Adam Anderson,4,5,4,4,2,3,1.25,2.06,3.33,7.8
Luke White,3,5,5,5,2,4,1.24,2.0,3.11,7.4
Dylan Shaw,3,3,2,3,3,2,1.24,2.08,3.28,7.1
Jacob Murray,4,2,5,3,2,4,1.14,1.91,3.06,8.0
Leo Wright,4,5,3,3,2,2,1.14,1.88,3.0,8.0
James Walsh,2,2,5,3,4,2,1.24,2.1,3.19,7.0
Tyler Gray,5,2,2,2,5,5,1.06,1.74,2.78,7.3
Ben Palmer,3,4,4,2,5,5,1.22,1.96,3.09,7.8
Josh Hill,2,5,3,4,2,4,1.23,2.08,3.19,8.2
Jake Morris,4,5,4,2,5,4,1.23,2.01,3.29,7.8
Elliot Mills,5,2,4,2,2,3,1.22,2.04,3.12,8.5
Lewis Lane,3,3,4,3,3,5,1.1,1.85,2.88,7.9
Adam Hughes,3,4,5,3,4,5,1.24,2.0,3.26,8.5
Luke Johnson,4,5,5,4,3,5,1.06,1.78,2.7,8.3
Dylan Anderson,3,3,3,2,2,5,1.21,1.95,3.25,8.2
Jacob White,2,3,3,2,4,4,1.1,1.85,2.79,8.4
Theo Moore,2,2,4,2,5,4,1.14,1.84,2.93,7.6
Tyler Bailey,2,3,3,5,2,4,1.16,1.89,2.98,7.2
Ben Gray,2,3,4,3,5,4,1.08,1.77,2.89,7.7
Josh Palmer,5,4,2,4,5,3,1.08,1.73,2.84,8.5
Jake Hill,5,5,5,2,5,5,1.15,1.86,3.1,8.1
Elliot Morris,4,3,4,2,5,4,1.19,1.97,3.06,7.5
Lewis Mills,2,5,2,4,4,2,1.21,1.96,3.25,6.6
Adam Lane,2,4,3,3,4,2,1.16,1.91,3.07,7.4
Luke Hughes,4,3,5,3,5,5,1.2,1.99,3.06,7.2
Dylan Johnson,4,2,2,4,5,3,1.05,1.78,2.73,6.5
Jack Edwards,4,2,5,3,5,2,1.09,1.85,2.87,8.1
Theo Carter,5,2,4,5,5,5,1.2,2.01,3.14,8.0
Tyler Moore,5,3,3,4,3,2,1.15,1.91,2.9,8.2
Ben Bailey,3,5,2,5,2,3,1.14,1.86,2.88,7.4
Josh Gray,5,5,2,3,5,4,1.06,1.71,2.75,8.3
Jake Palmer,3,3,3,4,4,5,1.18,1.96,3.03,7.3
Elliot Hill,5,3,3,2,3,4,1.16,1.94,3.03,7.6
Lewis Morris,3,2,3,2,2,2,1.15,1.95,3.08,7.4
Adam Mills,4,2,4,5,4,5,1.24,2.01,3.2,7.9
Luke Lane,3,5,3,5,4,4,1.17,1.97,2.97,8.3
Owen Mason,3,2,4,5,4,4,1.24,2.09,3.19,8.2
Jack Thompson,5,4,5,3,2,4,1.19,1.94,3.06,7.2
Theo Edwards,2,5,4,4,3,4,1.11,1.86,2.91,8.5
Tyler Carter,4,2,4,5,3,3,1.14,1.88,3.04,6.5
Ben Moore,5,3,2,4,5,2,1.24,2.07,3.16,8.2
Josh Bailey,5,5,5,4,2,4,1.18,1.96,3.1,7.6
Jake Gray,3,2,4,2,4,3,1.13,1.87,2.91,7.8
Elliot Palmer,4,5,5,2,4,4,1.16,1.89,3.02,8.2
Lewis Hill,4,5,2,4,2,5,1.06,1.75,2.85,8.4
Adam Morris,5,5,2,5,5,3,1.15,1.84,3.01,7.9
Finn Young,5,2,3,5,3,5,1.23,1.98,3.28,6.5
Owen Baker,5,4,2,3,2,2,1.12,1.81,2.92,7.6
Jack Mason,4,2,2,2,4,5,1.09,1.78,2.8,7.1
Theo Thompson,5,4,2,3,4,2,1.08,1.82,2.88,7.3
Tyler Edwards,2,3,3,5,4,5,1.09,1.76,2.92,6.6
Ben Carter,3,4,3,5,4,3,1.19,2.0,3.02,7.9
Josh Moore,2,5,2,4,4,3,1.06,1.79,2.78,7.9
Jake Bailey,4,4,4,4,3,2,1.16,1.95,3.01,8.4
Elliot Gray,3,4,4,5,4,2,1.18,1.93,3.11,7.0
Lewis Palmer,2,3,4,4,5,3,1.21,1.96,3.13,8.1
Matthew Phillips,4,4,5,5,2,4,1.24,1.99,3.18,7.9
Finn Brooks,3,3,4,5,5,2,1.22,1.98,3.09,7.3
Owen Young,3,4,2,5,5,5,1.09,1.82,2.85,8.1
Jack Baker,5,5,2,2,2,5,1.18,1.98,3.16,7.5
Theo Mason,4,4,3,5,4,3,1.21,1.99,3.26,7.7
Tyler Thompson,3,4,2,3,2,3,1.17,1.88,3.13,6.9
Ben Edwards,3,5,5,2,3,4,1.18,1.96,3.1,6.5
Josh Carter,4,2,3,4,2,3,1.25,2.04,3.17,6.9
Jake Moore,3,2,3,5,2,5,1.13,1.84,2.95,6.6
Elliot Bailey,5,3,5,3,3,3,1.2,2.0,3.13,7.2
