name,age_group,age,position,dob,height,weight
Jayden Anderson,Under 19s,18,CAM,2007-03-19,184,68
Jacob Thompson,Under 19s,18,LB,2006-11-11,189,56
Aaron Price,Under 19s,18,LDM,2007-04-01,162,66
Leo Green,Under 19s,18,LCB,2007-03-02,170,69
Callum Bell,Under 19s,18,ST,2006-11-02,163,58
Ryan James,Under 19s,18,RDM,2007-01-06,186,58
Theo Palmer,Under 19s,18,RCB,2006-10-20,180,60
Dylan Johnson,Under 19s,18,LW,2006-11-27,161,79
Lewis King,Under 19s,18,RW,2006-12-26,188,65
Alex Carter,Under 19s,18,GK,2006-12-14,184,78
Archie Foster,Under 17s,16,ST,2008-10-20,166,60
Ben Anderson,Under 17s,16,LB,2008-09-26,182,78
Henry Thompson,Under 17s,16,LDM,2009-09-05,178,63
Harvey Price,Under 17s,16,RDM,2009-01-02,177,55
Alfie Green,Under 17s,16,ST,2008-09-19,161,72
Finn Bell,Under 17s,16,RCB,2009-07-28,179,57
Jayden James,Under 17s,16,ST,2009-06-18,169,56
Jacob Palmer,Under 17s,16,RB,2009-05-22,185,61
Aaron Johnson,Under 17s,16,LCB,2009-05-19,165,79
Leo King,Under 17s,16,CAM,2008-12-05,187,75
Josh Wood,Under 16s,15,GK,2010-07-29,166,70
Ethan Edwards,Under 16s,15,LB,2009-10-21,176,64
Jack Hughes,Under 16s,15,LCB,2009-11-28,171,79
Archie Gray,Under 16s,15,RCB,2010-03-30,175,78
Ben Young,Under 16s,15,RB,2010-04-27,182,63
Henry Morris,Under 16s,15,LDM,2009-11-08,186,67
Harvey Clarke,Under 16s,15,RDM,2009-12-26,188,76
Alfie Phillips,Under 16s,15,CAM,2009-10-06,184,57
Finn Cook,Under 16s,15,LW,2009-12-21,179,57
Jayden Bailey,Under 16s,15,RW,2010-02-07,169,77
Peter Rogers,Under 16s,15,ST,2010-02-05,174,79
Noah Lane,Under 15s,14,GK,2011-02-05,175,56
Adam Foster,Under 15s,14,LB,2011-05-03,177,62
Owen Anderson,Under 15s,14,LCB,2010-10-29,162,61
Josh Thompson,Under 15s,14,RCB,2011-02-19,174,78
Ethan Price,Under 15s,14,RB,2011-02-23,175,78
Jack Green,Under 15s,14,LDM,2011-04-06,179,55
Archie Bell,Under 15s,14,RDM,2011-03-27,170,69
Ben James,Under 15s,14,CAM,2011-08-02,177,67
Henry Palmer,Under 15s,14,LW,2011-07-07,190,72
Harvey Johnson,Under 15s,14,RW,2011-02-17,184,72
Grigor Smith,Under 15s,14,ST,2011-02-17,184,72
Thomas Evans,Under 14s,13,GK,2011-09-29,169,60
Oscar Wood,Under 14s,13,LB,2011-09-23,176,61
Liam Edwards,Under 14s,13,LCB,2012-08-27,190,68
Noah Hughes,Under 14s,13,RCB,2012-06-16,169,66
Adam Gray,Under 14s,13,RB,2011-10-04,178,78
Owen Young,Under 14s,13,LDM,2011-12-11,168,63
Josh Morris,Under 14s,13,RDM,2012-04-17,161,74
Ethan Clarke,Under 14s,13,CAM,2011-10-13,166,71
Jack Phillips,Under 14s,13,LW,2012-01-28,179,72
Archie Cook,Under 14s,13,RW,2011-10-07,188,55
John Gordon,Under 14s,13,ST,2011-10-07,188,55
Oliver Scott,Under 13s,12,GK,2013-02-16,161,65
James Lane,Under 13s,12,LB,2013-04-26,189,62
Sam Foster,Under 13s,12,LCB,2013-02-25,175,75
Thomas Anderson,Under 13s,12,RCB,2013-04-18,163,71
Oscar Thompson,Under 13s,12,RB,2013-02-23,186,56
Liam Price,Under 13s,12,LDM,2012-10-30,187,79
Noah Green,Under 13s,12,RDM,2013-07-26,176,68
Adam Bell,Under 13s,12,CAM,2013-05-17,189,72
Owen James,Under 13s,12,LW,2013-04-09,176,71
Josh Palmer,Under 13s,12,ST,2013-03-18,187,73
Billy Foster,Under 13s,12,RW,2013-03-18,187,73
Jake Reed,Under 12s,11,GK,2014-03-16,166,73
Zach Evans,Under 12s,11,LB,2014-02-02,161,55
Michael Wood,Under 12s,11,LCB,2014-09-12,181,74
Oliver Edwards,Under 12s,11,RCB,2013-10-03,168,62
James Hughes,Under 12s,11,RB,2014-09-10,188,65
Sam Gray,Under 12s,11,LDM,2014-03-30,170,56
Thomas Young,Under 12s,11,RDM,2014-04-02,170,80
Oscar Morris,Under 12s,11,CAM,2014-01-17,187,73
Liam Clarke,Under 12s,11,LW,2014-06-04,177,62
Noah Phillips,Under 12s,11,RW,2014-06-15,184,55
Phil Franklin,Under 12s,11,ST,2014-06-15,184,55
